Place	Bib#	Name	Country	Time(sec)	Run1	Run2	Total	Behind
40	79	Tormis Laine	Estonia	150.88000	1:15.70	1:15.18	2:30.88	12.84
41	71	Marko Vukicevic	Serbia	151.35000	1:14.64	1:16.71	2:31.35	13.31
42	80	Márton Kékesi	Hungary	151.86000	1:16.64	1:15.22	2:31.86	13.82
43	70	Simon Breitfuss Kammerlander	Bolivia	152.25000	1:16.27	1:15.98	2:32.25	14.21
44	62	Dalibor Samsal	Hungary	152.88000	1:16.09	1:16.79	2:32.88	14.84
45	77	Marko Stevovic	Serbia	153.21000	1:17.42	1:15.79	2:33.21	15.17
46	78	Ioannis Antoniou	Greece	153.30000	1:17.38	1:15.92	2:33.30	15.26
47	90	Erjon Tola	Albania	153.63000	1:16.86	1:16.77	2:33.63	15.59
48	81	Rodolfo Dickson	Mexico	153.69000	1:17.02	1:16.67	2:33.69	15.65
49	84	Itamar Biran	Israel	153.71000	1:17.52	1:16.19	2:33.71	15.67
50	65	Matej Falat	Slovakia	154.78000	1:14.99	1:19.79	2:34.78	16.74
51	75	Igor Zakurdayev	Kazakhstan	155.07000	1:18.78	1:16.29	2:35.07	17.03
52	91	Komiljon Tukhtaev	Uzbekistan	155.99000	1:17.72	1:18.27	2:35.99	17.95
53	60	Adam Lamhamedi	Morocco	156.04000	1:18.50	1:17.54	2:36.04	18.00
54	88	Yuri Danilochkin	Belarus	156.89000	1:19.45	1:17.44	2:36.89	18.85
55	82	Alexandru Barbu	Romania	157.14000	1:19.74	1:17.40	2:37.14	19.10
56	96	Albin Tahiri	Kosovo	157.47000	1:19.49	1:17.98	2:37.47	19.43
57	98	Ivan Kovbasnyuk	Ukraine	157.67000	1:20.41	1:17.26	2:37.67	19.63
58	89	Mohammad Kiadarbandsari	Iran	157.72000	1:19.11	1:18.61	2:37.72	19.68
59	86	Andrej Drukarov	Lithuania	158.19000	1:19.98	1:18.21	2:38.19	20.15
60	76	Casper Dyrbye Næsted	Denmark	158.34000	1:20.33	1:18.01	2:38.34	20.30
61	97	Shannon-Ogbnai Abeda	Eritrea	159.87000	1:19.86	1:20.01	2:39.87	21.83
62	95	Matthieu Osch	Luxembourg	160.39000	1:21.45	1:18.94	2:40.39	22.35
63	92	Evgeniy Timofeev	Kyrgyzstan	161.03000	1:20.90	1:20.13	2:41.03	22.99
64	83	Eldar Salihovic	Montenegro	161.23000	1:20.51	1:20.72	2:41.23	23.19
65	101	Alessandro Mariotti	San Marino	162.87000	1:21.66	1:21.21	2:42.87	24.83
66	99	Arthur Hanse	Portugal	163.95000	1:22.43	1:21.52	2:43.95	25.91
67	93	Serdar Deniz	Turkey	164.23000	1:23.45	1:20.78	2:44.23	26.19
68	108	Jeffrey Webb	Malaysia	167.67000	1:23.83	1:23.84	2:47.67	29.63
69	102	Zhang Yangming	China	168.68000	1:25.73	1:22.95	2:48.68	30.64
70	104	Asa Miller	Philippines	169.95000	1:27.52	1:22.43	2:49.95	31.91
71	103	Allen Behlok	Lebanon	172.13000	1:26.70	1:25.43	2:52.13	34.09
72	106	Muhammad Karim	Pakistan	174.04000	1:27.53	1:26.51	2:54.04	36.00
73	105	Charles Flaherty	Puerto Rico	176.05000	1:28.50	1:27.55	2:56.05	38.01
74	110	Kang Song-il	North Korea	182.02000	1:32.03	1:29.99	3:02.02	43.98
75	109	Choe Myong-gwang	North Korea	192.01000	1:38.67	1:33.34	3:12.01	53.97
